Feature,Importance
categorical__Contract_Month-to-month,0.39012364450905296
numeric__tenure,0.13788580085593619
categorical__InternetService_Fiber optic,0.09066446219121382
numeric__TotalCharges,0.07952653983941381
categorical__OnlineSecurity_No,0.06888141486526013
numeric__MonthlyCharges,0.0680679470711184
categorical__TechSupport_No,0.047835027909128275
categorical__PaymentMethod_Electronic check,0.04046214038855751
categorical__MultipleLines_No,0.011883797799221813
categorical__PaperlessBilling_No,0.01174419540643246
categorical__OnlineBackup_No,0.009241998252317352
categorical__PaperlessBilling_Yes,0.0073998124592668975
categorical__Contract_Two year,0.007261567009444917
categorical__StreamingMovies_Yes,0.006148025601128711
numeric__SeniorCitizen,0.0048925117072138756
categorical__Contract_One year,0.0022203422583444783
categorical__StreamingTV_Yes,0.0017888680833151854
categorical__tenure_group_0-1 Year,0.0013329506507105849
categorical__Dependents_No,0.0013230857416502615
categorical__gender_Female,0.0012773081752494024
categorical__TechSupport_Yes,0.0012388301564393949
categorical__Dependents_Yes,0.001208077950960716
categorical__MultipleLines_No phone service,0.0011773142537971778
categorical__monthly_charge_category_Medium,0.0011091695579733714
numeric__service_count,0.0010021057413897882
categorical__gender_Male,0.0007633403918148194
categorical__PaymentMethod_Bank transfer (automatic),0.0006332984772677884
categorical__OnlineBackup_Yes,0.0006179891916234869
categorical__PaymentMethod_Credit card (automatic),0.0005865107467384801
categorical__StreamingTV_No,0.0004641894646995603
categorical__Partner_Yes,0.0003621695884124073
categorical__PaymentMethod_Mailed check,0.00027239027316848025
categorical__InternetService_DSL,0.0002523432228622458
categorical__OnlineSecurity_Yes,0.00015334639204910196
categorical__StreamingMovies_No,0.00012490570499526103
categorical__Partner_No,7.257811183100466e-05
categorical__PhoneService_No,0.0
categorical__PhoneService_Yes,0.0
categorical__OnlineSecurity_No internet service,0.0
categorical__InternetService_No,0.0
categorical__MultipleLines_Yes,0.0
categorical__DeviceProtection_Yes,0.0
categorical__DeviceProtection_No,0.0
categorical__DeviceProtection_No internet service,0.0
categorical__TechSupport_No internet service,0.0
categorical__OnlineBackup_No internet service,0.0
categorical__StreamingMovies_No internet service,0.0
categorical__StreamingTV_No internet service,0.0
categorical__tenure_group_2-4 Years,0.0
categorical__tenure_group_1-2 Years,0.0
categorical__tenure_group_4+ Years,0.0
categorical__monthly_charge_category_High,0.0
categorical__monthly_charge_category_Low,0.0
categorical__monthly_charge_category_Very High,0.0
